,LSTM_5,LSTM_30,Conv1D_LSTM_30,LSTM_90,Conv1D_LSTM_90,LSTM_180,Conv1D_LSTM_180
2023-05-10,27653.440548588987,27649.706488882075,27681.450117869535,27667.819563495694,27703.257685994497,27704.098467650358,27697.34913412272
2023-05-11,27621.69329674705,27616.352423981996,27643.879980280297,27632.9842047072,27666.517773288768,27667.176327267196,27660.330658661434
2023-05-12,27007.831676300615,26994.53021307802,27028.302893746644,27006.59889701102,27044.786086284555,27045.252804292366,27038.554596194066
2023-05-13,26816.170952419052,26800.11884121748,26831.882753111422,26816.301963976584,26848.764071610058,26848.869519936852,26842.54581573303
2023-05-14,26787.33170123212,26776.24751095753,26816.585151122883,26780.267385811545,26827.7316031605,26826.907832141966,26821.671458225697
2023-05-15,26925.834334758227,26921.930509877508,26963.561142394552,26920.644751765067,26974.4668110786,26972.53416093206,26968.511551906122
2023-05-16,27180.775537355454,27186.1517668725,27229.777511123568,27193.74688641331,27236.86693768599,27233.81008846406,27231.00932735298
2023-05-17,27022.817189279012,27028.92158894101,27074.05675940914,27034.766535502276,27080.335202144925,27076.441794123966,27074.775492843473
2023-05-18,27380.50389476784,27393.552331042825,27438.54575630091,27405.95896062744,27443.177216285374,27438.258331421763,27437.36992724985
2023-05-19,26823.81093255419,26826.24830276461,26871.94899420999,26832.736761389067,26875.87693465408,26870.256909116404,26869.949838853674
2023-05-20,26877.22976032272,26883.04783931328,26928.797494053375,26888.936440473422,26934.028956815135,26927.941611358896,26927.98969465634
2023-05-21,27109.13511458924,27121.093194404617,27167.88413389586,27119.354866371956,27173.863982328214,27167.70625846926,27167.82592011988
2023-05-22,26733.068582816166,26742.6046036022,26790.7965909224,26734.529284327873,26797.63127070316,26791.616242207354,26791.565213333583
2023-05-23,26831.087530154502,26839.480346840573,26889.08983174106,26838.74093392887,26895.200391258113,26889.806838200893,26889.176256626844
2023-05-24,27200.89154104516,27216.723380388692,27263.57627763413,27223.88470747182,27270.155026783235,27265.55931450147,27264.176706145518
2023-05-25,26326.907184807584,26325.73306604242,26372.35248760041,26325.740914429887,26377.523005264113,26374.123083813116,26372.044830811676
2023-05-26,26463.918328276137,26466.5695445335,26513.47871313477,26476.967677819077,26518.67383451527,26516.467643843964,26513.67755435407
2023-05-27,26704.56748548511,26711.171972179553,26756.68193402677,26720.800794594456,26761.784604721004,26760.66023346316,26757.16289736936
2023-05-28,26848.610486618243,26859.78400327789,26901.9781617173,26859.75357518322,26910.751061855117,26910.757467769785,26906.526361131575
2023-05-29,28057.76208368002,28083.12873576209,28119.177405064227,28118.588144750567,28129.84770403942,28130.986047827173,28125.599003255134
2023-05-30,27720.476034311112,27744.2111366163,27775.49079972948,27767.235111971153,27789.409042552812,27791.472964492394,27785.40027109324
2023-05-31,27676.236059959396,27700.320298452978,27729.749434794066,27727.705263173673,27745.680103447987,27748.407867193455,27741.882369419793
2023-06-01,27199.485056990525,27216.78165590798,27243.73164227116,27240.09418098489,27262.107149197254,27265.47528908588,27258.573522666702
2023-06-02,26804.21850308613,26815.009018951794,26840.920644383878,26830.424269987736,26861.686392694246,26865.62533063395,26858.374103972223
2023-06-03,27232.446390342666,27245.560198283056,27266.907086784486,27268.690460715443,27291.880818626378,27296.415590953548,27288.609675550833
2023-06-04,27054.220468872227,27068.26378641324,27086.880622905213,27077.588342693634,27117.00065032253,27121.955026885495,27113.79240908241
2023-06-05,27094.461225698236,27109.9158394977,27127.17761345068,27118.812627945794,27160.934977177065,27166.117227134295,27157.74739236245
2023-06-06,25758.57451815158,25749.77808854892,25764.065185328946,25749.077936358517,25799.874284856487,25804.75385428872,25796.852575403173
2023-06-07,27223.653266151552,27237.52169856138,27242.92652313318,27265.14004364726,27280.891803333536,27285.879373500124,27277.660922919633
2023-06-08,26341.83977634739,26344.26124657155,26348.736726557836,26357.348492257763,26386.836409163894,26391.49718972505,26383.623485636897
2023-06-09,26497.85823265789,26505.16105203121,26511.654904827476,26516.726746062515,26549.376131508267,26553.951848709723,26546.09602484037
2023-06-10,26469.1860531345,26475.60521619022,26483.57905729115,26482.562597736716,26521.494261354208,26525.94837449491,26518.230226635933
2023-06-11,25848.90429972438,25847.36344573321,25858.013828520197,25851.40972831403,25891.36407230515,25895.579848825,25888.208403331228
2023-06-12,25931.14461110439,25934.241558562266,25947.617341117468,25936.791167328134,25980.324693351053,25984.49312587548,25977.269492064603
2023-06-13,25890.029844492674,25895.980070978403,25912.62495726347,25895.80869704485,25942.564446628094,25946.547732651234,25939.55382347107
2023-06-14,25908.226444456028,25913.25501780922,25928.532302567968,25915.230914988555,25958.82733281562,25962.54739568336,25955.81173368031
2023-06-15,25128.25192438159,25118.429511148715,25136.141003953293,25110.73211764102,25163.47124354774,25166.87966137333,25160.65585448267
