date,Cost % of Transaction Volume,Hash Rate,Number of Transactions Excluding Popular Addresses,Difficulty,Mempool Size,Blockchain Size,Average Confirmation Time,Output Value,Average Block Size,Market Price (USD),Market Capitalization,Number Of Unique Addresses Used,Mempool Transaction Count,Mempool Size Growth,Total Number of Transactions,Miners Revenue,Average Number Of Transactions Per Block,Estimated Transaction Value,Median Confirmation Time,Confirmed Transactions Per Day,Estimated USD Transaction Value,Cost per Transaction
2023-02-11,1.2804260520262127,291465748.0777028,279947.0,39350942467773.0,57794904.5,454196.153844,131.32708286830174,834625.6894330408,2.3520763892617444,21638.55,417394565712.5,654726.0,33032.0,1426.35,804388388.0,20695417.561901353,1881.3355704697988,74484.28828695006,7.266666666666667,280319.0,1616291509.3106585,73.82809428508718
2023-02-12,2.4934771446996766,313943411.7760057,259229.0,39226483659863.44,69866089.5,454546.791046,116.79824683471344,699951.654461246,2.5247853664596285,21861.84,421580957943.75,617837.0,28494.0,844.4,804670112.0,22415712.264169145,1612.6832298136646,41080.6141906,7.516666666666667,259642.0,898974041.6036167,86.33315204847115
2023-02-13,0.9647355561856956,303650131.9290037,298876.0,39156400059293.0,58971123.5,454953.200559,40.48602820300118,872938.391430793,2.162067403846153,21787.25,420426313400.0,666916.0,9397.5,1633.25,804929889.0,21667418.164248344,1918.775641025641,103730.69354991996,7.766666666666667,299329.0,2245943774.469708,72.38663198102537
2023-02-14,0.8468386293483513,299757181.5196575,302221.0,39156400059293.0,68182698.0,455290.205649,49.33081673903215,764498.9395732475,2.3363439740259726,21787.99,420003891625.0,675701.0,13002.0,1202.9833333333331,805227917.0,21647341.400688175,1965.2792207792209,116569.52323572995,8.675,302653.0,2556253417.176537,71.52528275182527
2023-02-15,0.8236555613270258,317275458.3617154,325074.0,39156400059293.0,67432957.0,455651.150419,74.6102542889636,814499.2646493865,2.19020936196319,22211.8,427337139450.0,723537.0,31611.0,1666.7833333333333,805530828.0,23873321.525806885,1996.6871165644172,127201.24194637,8.966666666666667,325460.0,2898459337.461837,73.35255185216889
2023-02-16,0.8162668754513236,348419061.63648504,344159.0,39156400059293.0,64945402.5,456008.394416,144.82882543833108,1009943.341510831,2.10664605027933,24340.73,469145439787.5,759215.0,19219.5,2138.2833333333333,805855534.0,28291380.22294443,1925.7597765363128,140583.03663260004,6.0,344711.0,3465947360.3289113,82.072751443802
2023-02-17,0.9522041939097812,321168408.7710616,320800.0,39156400059293.0,60937353.5,456384.14489,129.7473137798578,930402.371133152,2.048259181818183,23544.67,453950291025.0,716489.0,10303.5,2523.4166666666665,806200626.0,25714299.92522733,1947.030303030303,112490.60784384,8.05,321260.0,2700502695.7131515,79.16379308557043
2023-02-18,1.912689754126342,327007834.38508093,276435.0,39156400059293.0,52381085.5,456722.01486,181.94750928273496,606231.260338933,2.114063750000001,24572.97,474291407137.5,656568.0,5191.5,1628.4333333333334,806521292.0,26343409.639495973,1647.607142857143,55950.964416360024,6.0,276798.0,1377296531.3723257,95.17196525804368
2023-02-19,2.340051530894294,315328983.1570423,240012.0,39156400059293.0,34536112.5,457077.7974,579.0152951822948,498507.2752584315,2.2633263580246914,24641.94,475301278856.25,569883.0,3536.0,1997.8166666666664,806797962.0,25635697.747482333,1483.9876543209878,44467.08488730999,5.883333333333333,240406.0,1095518513.5468009,106.21089029723464
2023-02-20,1.3865259480018512,286131855.0869458,269622.0,39156400059293.0,14260257.5,457445.257149,32.10496807866557,698279.6512245615,2.14595393877551,24290.18,468591804525.0,615969.0,2612.5,1912.1,807038897.0,24027013.11118264,1837.2857142857144,70277.61345419,7.55,270081.0,1732893145.332651,84.7809750536612
