date,avg-block-size,avg-confirmation-time,blocks-size,cost-per-transaction-percent,cost-per-transaction,difficulty,estimated-transaction-volume-usd,estimated-transaction-volume,hash-rate,market-cap,market-price,median-confirmation-time,mempool-count,mempool-growth,mempool-size,miners-revenue,n-transactions-excluding-popular,n-transactions-per-block,n-transactions-total,n-transactions,n-unique-addresses,output-volume,total-bitcoins,trade-volume,transaction-fees-usd,transaction-fees,transactions-per-second
2014-05-27,0.296760823529412,,19255.885109,2.08285663920692,30.593890703585,10455720138.4848,104251120.879531,178243.6070297,67048.6100760278,7499047130.815385,584.88,8.26666666666667,,,,2171401.39268694,68524.0,503.852941176471,39543531.0,68524.0,150775.0,951817.249445368,12821514.038461538,6778384.8768,7345.3926869424,12.14135874,
2014-05-28,0.249080710059172,,19296.456239,4.9047343324001,35.502272944295,10455720138.4848,58855895.5437036,102769.15582976,91996.9301043173,7345060486.887096,572.7,6.93333333333333,,,,2886725.31537357,72338.0,428.03550295858,39612651.0,72338.0,156184.0,869282.339182977,12825319.516129032,11364807.702,8907.81537357,13.95978274,
2014-05-29,0.27179760283688,,19338.550494,4.60962302784471,32.0456186244473,10455720138.4848,47106045.4374686,81077.5308734399,68088.1234105399,7453767956.569343,581.0,7.83333333333333,,,,2171411.11799255,65362.0,463.560283687943,39684809.0,65362.0,145139.0,659714.045118423,12829204.744525548,5200879.6,7186.11799255,11.95135479,
2014-05-30,0.220130371257485,,19376.567036,3.59998057689111,38.3139930099255,10455720138.4848,74086890.8717894,130203.1438319,84720.3367627328,7302131968.366242,569.01,7.38333333333333,,,,2667113.68140693,65127.0,389.982035928144,39749554.0,65127.0,127995.0,929717.756126586,12833046.815286623,4631951.9337,6991.93140693451,11.59815107,
2014-05-31,0.208395544217687,,19413.616502,4.79735461852501,45.3419422156527,10455720138.4848,52258939.9438368,84112.24842079,79003.0134229165,7975611236.142858,621.3,7.5,,,,2507046.66898787,52172.0,354.91156462585,39815047.0,52172.0,123644.0,588130.159851893,12836972.857142856,13980467.748,6314.168987868,9.64770833,
2014-06-01,0.20503392,,19444.068284,4.48783294443122,53.8417334149064,10455720138.4848,71009428.3102904,113343.06194779,93036.4434388293,8044896814.329268,626.5,6.63333333333333,,,,3186784.51736148,55222.0,315.554285714286,39867118.0,55222.0,167932.0,742697.834930674,12841016.463414634,6075496.28,7297.01736148,10.75014255,
2014-06-02,0.199626906735751,,19480.140124,4.77831768590243,49.2000159490993,10455720138.4848,76403224.3867338,121138.43824695,93036.4434388293,8101861008.117898,630.71,6.86666666666667,,,,3650788.78347102,64434.0,333.854922279793,39922562.0,64434.0,149237.0,952286.473004429,12845620.028409092,15165768.8405,8438.5334710178,11.70443213,
2014-06-03,0.236055926553672,,19518.678957,4.30009435035798,43.802126930615,10455720138.4848,74496615.4214015,112532.65169396,97714.2534441336,8506842682.544378,662.0,5.98333333333333,,,,3203424.7509436,69655.0,393.531073446328,39987099.0,69655.0,160756.0,906950.889311302,12850215.532544378,13311959.4,9274.7509436,13.43594734,
2014-06-04,0.203397785714286,,19560.147989,4.56272235605139,51.3640156333755,10455720138.4848,78766326.9733077,117537.12205406,95115.4701078534,8614468019.829342,670.14,6.43333333333333,,,,3593888.80985165,65094.0,357.659340659341,40056179.0,65094.0,148353.0,1034442.67009573,12854728.892215569,9101432.6946,8639.8098516468,12.01095921,
2014-06-05,0.262957598684211,,19597.728314,3.78555299310367,37.9004594477808,10455720138.4848,71548818.3340835,111297.66719672,75364.7167521243,8266463525.388889,642.86,7.76666666666667,,,,2708518.43397621,66945.0,440.427631578947,40122179.0,66945.0,154509.0,950750.391346203,12858886.111111112,11160396.7444,8506.4339762052,12.34989787,
2014-06-06,0.273251352517986,,19637.449163,3.87306272844372,39.7529780689049,11756551916.904,69799063.6904577,105519.53753773,86494.3621241971,8508329263.6484375,661.48,7.41666666666667,,,,2703361.52059781,62342.0,448.503597122302,40189213.0,62342.0,143645.0,1049433.72248384,12862564.6484375,7112332.182,7830.520597808,10.80069596,
2014-06-07,0.184429664516129,,19675.218891,7.02078450180922,51.4670716587146,11756551916.904,40993120.4470621,63163.51378592,89416.4689527173,8350164135.689655,649.0,7.25,,,,2878038.64715532,51210.0,330.387096774194,40250781.0,51210.0,120890.0,606545.184858579,12866200.51724138,4146207.89,6213.64715532,8.78221121,
2014-06-08,0.228370227941176,,19704.017462,6.38325631702868,48.5437342246335,11756551916.904,39217473.1187264,59680.83929682,87663.2048556052,8457034291.875,657.12,7.36666666666667,,,,2503351.83023013,48308.0,355.205882352941,40302605.0,48308.0,153210.0,772391.162308146,12869847.65625,3813891.624,6295.8302301264,8.84632234,
2014-06-09,0.232621698717949,,19735.0346,5.2617723313991,46.5628843277912,11756551916.904,59474225.2762974,90508.7812943,79481.3057357487,8459278513.919014,657.11,8.93333333333333,,,,3129398.32990219,59875.0,383.814102564103,40350520.0,59875.0,137265.0,389374.168040356,12873458.802816901,1707138.9245,8125.8299021893,11.09517441,
2014-06-10,0.239050365269461,,19771.112888,3.14434282162791,46.0412003996464,11756551916.904,108092776.376803,166601.58810253,103442.581729614,8355061077.050675,648.81,6.75,,,,3398807.4547023,63316.0,379.137724550898,40410007.0,63316.0,146486.0,595395.837500687,12877515.878378378,4410980.2017,8775.20470229819,11.64592603,
2014-06-11,0.251775746575342,,19811.248105,2.85136676564906,38.9100658973058,11756551916.904,95817529.3322293,147741.16002194,85325.5193927891,8354242384.671533,648.55,7.8,,,,2732109.18704523,62827.0,430.321917808219,40473834.0,62827.0,145154.0,533894.910344221,12881416.05839416,3834902.092,8199.18704522751,11.27334026,
2014-06-12,0.230417889534884,,19848.203455,0.653111440972754,46.5925500263961,11756551916.904,532526895.661207,852083.933086719,90585.3116841254,8052996757.405844,624.97,7.71666666666667,,,,3477994.08182039,64744.0,376.418604651163,40536814.0,64744.0,146361.0,1111447.58093751,12885413.311688311,6450427.8646,9410.58182038961,12.93722403,
2014-06-13,0.23105826993865,,19887.478142,4.14576653779168,36.2036535194509,11756551916.904,64309203.8149249,111871.27740267,98182.7894382778,7409575828.222403,574.85,7.35,,,,2666109.45247941,64739.0,397.171779141104,40601012.0,64739.0,146417.0,746631.527250296,12889581.33116883,14241713.301,7428.202479406,11.5480141,
2014-06-14,0.175539230337079,,19925.114813,6.36068294461393,52.4543176734253,11756551916.904,53112540.8886736,89785.37890064,102858.16036391,7627381150.361635,591.55,6.96666666666667,,,,3378320.32975696,53596.0,301.101123595506,40665742.0,53596.0,128268.0,460635.313267111,12893890.880503144,11105617.728,6485.3297569595,9.08986917,
2014-06-15,0.171801721052632,,19956.522422,10.4343769908082,56.5961141160022,11756551916.904,34063836.8907338,59523.02525116,108702.37402095,7381552576.0,572.28,6.26666666666667,,,,3554349.15871317,53916.0,283.768421052632,40719484.0,53916.0,156625.0,447016.409284431,12898498.245614035,9358300.2648,6213.1587131712,9.53850979,
2014-06-16,0.216450079787234,,19989.22844,5.33117994041584,44.2116580250745,11756551916.904,62982278.180436,106229.28060928,118637.537237919,7650159806.363372,592.89,5.8,,,,3357698.58037231,68262.0,363.095744680851,40774045.0,68262.0,151411.0,741260.561498812,12903168.895348838,5313533.5401,7870.0803723141,11.98941586,
2014-06-17,0.214619630434783,,20030.070808,6.50267121473185,42.8898225587433,11756551916.904,53293447.389672,90944.44947043,104027.003095318,7564049874.698795,586.0,6.38333333333333,,,,3465497.66274646,70077.0,380.853260869565,40842229.0,70077.0,161493.0,483436.551380298,12907934.939759037,6366995.48,8097.66274646,12.0249054,
2014-06-18,0.234856905063291,,20069.329778,4.70849770646662,38.7224215674013,13462580114.5253,56348819.6524198,92678.97969148,113768.842858603,7850559941.333333,608.0,6.5,,,,2653182.8809552,63888.0,404.354430379747,40911844.0,63888.0,144626.0,549689.613936265,12912105.166666666,3965892.8,8382.8809552,12.91108153,
2014-06-19,0.226365461077844,,20106.491822,5.80990515795365,44.0116722473461,13462580114.5253,53770869.4811373,88438.93006766,101053.501597935,7853033494.039735,608.0,8.11666666666667,,,,3124036.51946112,62454.0,373.976047904192,40975842.0,62454.0,132614.0,723576.463928825,12916173.509933775,4148688.0,8036.51946112,11.72007406,
2014-06-20,0.178434682795699,,20144.120238,7.2718600760036,50.7863498055698,13462580114.5253,47161955.5406119,79243.8133926101,123807.270169656,7689719590.935629,595.15,5.71666666666667,,,,3429551.41602032,57381.0,308.5,41037924.0,57381.0,133214.0,563146.486382393,12920641.167664671,2479579.3965,7438.91602032,10.71588434,
2014-06-21,0.168137698924731,,20177.711706,8.9476987116813,58.0806835196169,13462580114.5253,35550625.6692528,59901.9776054,126484.18411927,7670901383.641619,593.48,5.88333333333333,,,,3180962.87500238,51173.0,275.123655913978,41095838.0,51173.0,130125.0,461927.046746102,12925290.462427747,4253524.5732,5844.8750023756,9.18948220000001,
2014-06-22,0.176881305555556,,20208.802265,9.91522265660624,59.2202460832823,13462580114.5253,35527766.1432133,60118.73247464,129161.098068884,7641047794.4,590.96,5.9,,,,3522657.11801796,50104.0,278.355555555556,41146855.0,50104.0,163514.0,528044.174882565,12929890.0,1722683.8576,6445.1180179624,9.0220478,
2014-06-23,0.204360852272727,,20240.84972,3.76225897665513,52.5657469430087,13462580114.5253,94094872.6706531,157149.56354909,105738.10100976,7744515295.786163,598.76,8.25,,,,3540092.79362386,60216.0,342.136363636364,41197232.0,60216.0,136813.0,623384.095218053,12934256.289308175,2339421.1836,7408.793623864,11.29559499,
2014-06-24,0.202052718085106,,20276.719735,2.73978618428383,45.6226135403976,13462580114.5253,116200207.021199,197535.4135507,132507.240505902,7611260848.096265,588.25,6.01666666666667,,,,3183637.21807602,64883.0,345.122340425532,41257513.0,64883.0,148534.0,882381.495034408,12938819.971264368,3115477.885,7087.2180760225,11.06251476,
2014-06-25,0.203568347593583,,20314.334707,4.62244457572187,42.5428081380953,13462580114.5253,63293597.3712146,110079.65037256,124476.498657059,7442239814.508333,574.98,5.75,,,,2925711.45846495,64397.0,344.368983957219,41321585.0,64397.0,150394.0,503311.050089334,12943475.972222222,3698806.0914,7687.9584649476,12.3602878,
2014-06-26,0.205764573099415,,20352.335686,4.65608417469844,41.8801945972418,13462580114.5253,64273603.162016,114618.73736004,114438.071346006,7260705004.480519,560.76,6.21666666666667,,,,2992633.06533511,61432.0,359.251461988304,41385984.0,61432.0,136793.0,513326.250977958,12947972.402597403,5032837.8228,6586.0653351096,10.13416507,
2014-06-27,0.184046842639594,,20387.727861,6.48939486728188,49.5669461944413,13462580114.5253,53708388.2224629,93027.3118482399,125145.727144463,7478060824.92033,577.34,6.0,,,,3485349.38860833,62966.0,319.624365482233,41447698.0,62966.0,144281.0,487614.045979167,12952611.675824177,2689215.0796,6875.88860833501,10.70192844,
